R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b,,RGB,Min,Max
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,R,0.000000,1.000000
0.062500,0.000000,0.000000,0.005156,0.000000,0.000000,0.002237,0.001096,0.000092,0.002126,0.001093,0.000455,0.128575,0.102999,0.076936,0.108487,0.038835,0.021719,,G,0.000000,1.000000
0.125000,0.000000,0.000000,0.014350,0.000000,0.000000,0.006227,0.003052,0.000255,0.005916,0.003041,0.001268,0.180860,0.144884,0.108222,0.152604,0.054628,0.030551,,B,0.000000,1.000000
0.187500,0.000000,0.000000,0.029343,0.000000,0.000000,0.012733,0.006240,0.000521,0.012097,0.006219,0.002592,0.229559,0.183895,0.137363,0.193694,0.069337,0.038778,,,,
0.250000,0.000000,0.000000,0.050876,0.000000,0.000000,0.022078,0.010820,0.000903,0.020975,0.010783,0.004494,0.275782,0.220923,0.165021,0.232695,0.083298,0.046586,,Linear RGB,Min,Max
0.312500,0.000000,0.000000,0.079581,0.000000,0.000000,0.034534,0.016925,0.001413,0.032809,0.016866,0.007029,0.320134,0.256453,0.191560,0.270118,0.096694,0.054078,,R,0.000000,1.000000
0.375000,0.000000,0.000000,0.116016,0.000000,0.000000,0.050345,0.024673,0.002060,0.047830,0.024588,0.010248,0.362995,0.290788,0.217207,0.306283,0.109640,0.061318,,G,0.000000,1.000000
0.437500,0.000000,0.000000,0.160683,0.000000,0.000000,0.069728,0.034173,0.002853,0.066245,0.034055,0.014193,0.404623,0.324135,0.242117,0.341407,0.122213,0.068350,,B,0.000000,1.000000
0.500000,0.000000,0.000000,0.214041,0.000000,0.000000,0.092883,0.045521,0.003801,0.088243,0.045364,0.018906,0.445205,0.356645,0.266400,0.375649,0.134471,0.075205,,,,
0.562500,0.000000,0.000000,0.276518,0.000000,0.000000,0.119995,0.058808,0.004910,0.114000,0.058605,0.024425,0.484881,0.388429,0.290141,0.409126,0.146455,0.081907,,CIE XYZ,Min,Max
0.625000,0.000000,0.000000,0.348510,0.000000,0.000000,0.151236,0.074119,0.006188,0.143680,0.073863,0.030784,0.523760,0.419574,0.313406,0.441931,0.158198,0.088475,,X,0.000000,1.000000
0.687500,0.000000,0.000000,0.430393,0.000000,0.000000,0.186769,0.091533,0.007642,0.177438,0.091217,0.038016,0.561930,0.450152,0.336246,0.474138,0.169727,0.094923,,Y,0.000000,1.000000
0.750000,0.000000,0.000000,0.522522,0.000000,0.000000,0.226748,0.111126,0.009278,0.215420,0.110743,0.046154,0.599463,0.480218,0.358704,0.505807,0.181063,0.101263,,Z,0.000000,1.000000
0.812500,0.000000,0.000000,0.625232,0.000000,0.000000,0.271319,0.132970,0.011102,0.257764,0.132511,0.055226,0.636416,0.509820,0.380816,0.536986,0.192225,0.107505,,,,
0.875000,0.000000,0.000000,0.738845,0.000000,0.000000,0.320622,0.157132,0.013119,0.304604,0.156590,0.065262,0.672840,0.538999,0.402611,0.567720,0.203226,0.113658,,Linear LMS,Min,Max
0.937500,0.000000,0.000000,0.863669,0.000000,0.000000,0.374789,0.183679,0.015336,0.356065,0.183045,0.076287,0.708777,0.567788,0.424115,0.598043,0.214081,0.119729,,L,0.000000,1.000000
1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.433950,0.212673,0.017757,0.412270,0.211939,0.088329,0.744265,0.596216,0.445350,0.627986,0.224800,0.125723,,M,0.000000,1.000000
0.000000,0.062500,0.000000,0.000000,0.005156,0.000000,0.001940,0.003687,0.000564,0.002765,0.003509,0.001453,0.140356,0.151965,0.113253,0.149680,-0.040416,0.030976,,S,0.000000,1.000000
0.062500,0.062500,0.000000,0.005156,0.005156,0.000000,0.004177,0.004784,0.000656,0.004891,0.004602,0.001908,0.169740,0.166336,0.124030,0.167224,-0.012340,0.034268,,,,
0.125000,0.062500,0.000000,0.014350,0.005156,0.000000,0.008167,0.006739,0.000819,0.008681,0.006551,0.002720,0.205521,0.187110,0.139593,0.191178,0.014992,0.038867,,LMS,Min,Max
0.187500,0.062500,0.000000,0.029343,0.005156,0.000000,0.014673,0.009928,0.001085,0.014862,0.009728,0.004044,0.245863,0.213474,0.159326,0.220511,0.039648,0.044587,,L,0.000000,1.000000
0.250000,0.062500,0.000000,0.050876,0.005156,0.000000,0.024017,0.014507,0.001468,0.023740,0.014292,0.005946,0.287403,0.242678,0.181170,0.252341,0.060727,0.050853,,M,0.000000,1.000000
0.312500,0.062500,0.000000,0.079581,0.005156,0.000000,0.036474,0.020612,0.001977,0.035574,0.020376,0.008482,0.328885,0.273131,0.203939,0.285146,0.079077,0.057347,,S,0.000000,1.000000
0.375000,0.062500,0.000000,0.116016,0.005156,0.000000,0.052285,0.028361,0.002624,0.050595,0.028098,0.011700,0.369859,0.304012,0.227020,0.318182,0.095523,0.063909,,,,
0.437500,0.062500,0.000000,0.160683,0.005156,0.000000,0.071668,0.037860,0.003418,0.069010,0.037564,0.015646,0.410176,0.334908,0.250110,0.351092,0.110637,0.070460,,OkLab,Min,Max
0.500000,0.062500,0.000000,0.214041,0.005156,0.000000,0.094823,0.049208,0.004365,0.091008,0.048873,0.020359,0.449807,0.365614,0.273055,0.383709,0.124790,0.076962,,L,0.000000,1.000000
0.562500,0.062500,0.000000,0.276518,0.005156,0.000000,0.121934,0.062495,0.005474,0.116765,0.062114,0.025877,0.488770,0.396032,0.295782,0.415956,0.138223,0.083396,,a,-0.233951,0.276214
0.625000,0.062500,0.000000,0.348510,0.005156,0.000000,0.153176,0.077806,0.006753,0.146445,0.077372,0.032236,0.527099,0.426117,0.318260,0.447806,0.151100,0.089756,,b,-0.311762,0.198363
0.687500,0.062500,0.000000,0.430393,0.005156,0.000000,0.188709,0.095220,0.008207,0.180203,0.094727,0.039469,0.564834,0.455852,0.340475,0.479256,0.163532,0.096039,,,,
0.750000,0.062500,0.000000,0.522522,0.005156,0.000000,0.228688,0.114813,0.009843,0.218185,0.114252,0.047607,0.602016,0.485238,0.362428,0.510313,0.175602,0.102246,,,,
0.812500,0.062500,0.000000,0.625232,0.005156,0.000000,0.273259,0.136657,0.011666,0.260529,0.136020,0.056679,0.638683,0.514282,0.384126,0.540991,0.187366,0.108379,,,,
0.875000,0.062500,0.000000,0.738845,0.005156,0.000000,0.322561,0.160819,0.013684,0.307369,0.160099,0.066714,0.674870,0.542996,0.405576,0.571307,0.198871,0.114441,,,,
0.937500,0.062500,0.000000,0.863669,0.005156,0.000000,0.376729,0.187366,0.015900,0.358830,0.186554,0.077740,0.710607,0.571393,0.426790,0.601278,0.210149,0.120435,,,,
1.000000,0.062500,0.000000,1.000000,0.005156,0.000000,0.435890,0.216360,0.018321,0.415035,0.215448,0.089782,0.745925,0.599489,0.447778,0.630922,0.221229,0.126364,,,,
0.000000,0.125000,0.000000,0.000000,0.014350,0.000000,0.005399,0.010262,0.001571,0.007696,0.009768,0.004043,0.197432,0.213763,0.159308,0.210548,-0.056851,0.043573,,,,
0.062500,0.125000,0.000000,0.005156,0.014350,0.000000,0.007636,0.011359,0.001662,0.009821,0.010860,0.004499,0.214153,0.221454,0.165078,0.220147,-0.039858,0.045359,,,,
0.125000,0.125000,0.000000,0.014350,0.014350,0.000000,0.011626,0.013314,0.001826,0.013612,0.012809,0.005311,0.238766,0.233977,0.174468,0.235227,-0.017358,0.048203,,,,
0.187500,0.125000,0.000000,0.029343,0.014350,0.000000,0.018132,0.016503,0.002092,0.019793,0.015987,0.006635,0.270502,0.251914,0.187908,0.256087,0.007906,0.052194,,,,
0.250000,0.125000,0.000000,0.050876,0.014350,0.000000,0.027476,0.021082,0.002474,0.028671,0.020550,0.008537,0.306064,0.273909,0.204378,0.280959,0.032248,0.057009,,,,
0.312500,0.125000,0.000000,0.079581,0.014350,0.000000,0.039933,0.027187,0.002984,0.040505,0.026634,0.011072,0.343428,0.298639,0.222885,0.308373,0.054432,0.062364,,,,
0.375000,0.125000,0.000000,0.116016,0.014350,0.000000,0.055744,0.034936,0.003631,0.055526,0.034356,0.014291,0.381503,0.325088,0.242671,0.337296,0.074422,0.068048,,,,
0.437500,0.125000,0.000000,0.160683,0.014350,0.000000,0.075127,0.044435,0.004424,0.073940,0.043823,0.018236,0.419721,0.352560,0.263215,0.367057,0.092553,0.073924,,,,
0.500000,0.125000,0.000000,0.214041,0.014350,0.000000,0.098282,0.055783,0.005371,0.095939,0.055131,0.022949,0.457788,0.380598,0.284177,0.397234,0.109199,0.079900,,,,
0.562500,0.125000,0.000000,0.276518,0.014350,0.000000,0.125393,0.069070,0.006481,0.121696,0.068373,0.028468,0.495555,0.408910,0.305340,0.427565,0.124677,0.085921,,,,
0.625000,0.125000,0.000000,0.348510,0.014350,0.000000,0.156635,0.084381,0.007759,0.151376,0.083631,0.034827,0.532949,0.437309,0.326566,0.457887,0.139233,0.091950,,,,
0.687500,0.125000,0.000000,0.430393,0.014350,0.000000,0.192168,0.101795,0.009213,0.185134,0.100985,0.042059,0.569940,0.465678,0.347767,0.488099,0.153054,0.097964,,,,
0.750000,0.125000,0.000000,0.522522,0.014350,0.000000,0.232147,0.121389,0.010849,0.223116,0.120510,0.050197,0.606518,0.493941,0.368886,0.518141,0.166279,0.103951,,,,
0.812500,0.125000,0.000000,0.625232,0.014350,0.000000,0.276718,0.143232,0.012673,0.265460,0.142279,0.059269,0.642687,0.522051,0.389891,0.547976,0.179015,0.109901,,,,
0.875000,0.125000,0.000000,0.738845,0.014350,0.000000,0.326020,0.167395,0.014690,0.312299,0.166358,0.069305,0.678459,0.549981,0.410759,0.577585,0.191342,0.115809,,,,
0.937500,0.125000,0.000000,0.863669,0.014350,0.000000,0.380188,0.193941,0.016907,0.363761,0.192813,0.080330,0.713847,0.577713,0.431479,0.606956,0.203324,0.121672,,,,
1.000000,0.125000,0.000000,1.000000,0.014350,0.000000,0.439349,0.222935,0.019327,0.419966,0.221707,0.092372,0.748867,0.605238,0.452044,0.636087,0.215008,0.127490,,,,
