R,G,B,R',G',B',X,Y,Z,L',M',S',L,M,S,L,a,b
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.062500,0.000000,0.000000,0.005156,0.000000,0.000000,0.002237,0.001096,0.000092,0.002128,0.001098,0.000482,0.128631,0.103158,0.078381,0.108620,0.039220,0.020697
0.125000,0.000000,0.000000,0.014350,0.000000,0.000000,0.006227,0.003052,0.000255,0.005924,0.003055,0.001340,0.180939,0.145108,0.110255,0.152791,0.055169,0.029113
0.187500,0.000000,0.000000,0.029343,0.000000,0.000000,0.012733,0.006240,0.000521,0.012113,0.006248,0.002741,0.229659,0.184181,0.139942,0.193932,0.070023,0.036953
0.250000,0.000000,0.000000,0.050876,0.000000,0.000000,0.022078,0.010820,0.000903,0.021002,0.010833,0.004752,0.275902,0.221266,0.168120,0.232981,0.084123,0.044393
0.312500,0.000000,0.000000,0.079581,0.000000,0.000000,0.034534,0.016925,0.001413,0.032852,0.016945,0.007433,0.320273,0.256851,0.195158,0.270449,0.097652,0.051532
0.375000,0.000000,0.000000,0.116016,0.000000,0.000000,0.050345,0.024673,0.002060,0.047893,0.024703,0.010836,0.363153,0.291239,0.221286,0.306658,0.110726,0.058432
0.437500,0.000000,0.000000,0.160683,0.000000,0.000000,0.069728,0.034173,0.002853,0.066331,0.034214,0.015008,0.404799,0.324638,0.246663,0.341826,0.123424,0.065133
0.500000,0.000000,0.000000,0.214041,0.000000,0.000000,0.092883,0.045521,0.003801,0.088358,0.045575,0.019991,0.445399,0.357198,0.271403,0.376110,0.135803,0.071665
0.562500,0.000000,0.000000,0.276518,0.000000,0.000000,0.119995,0.058808,0.004910,0.114149,0.058878,0.025827,0.485092,0.389031,0.295590,0.409628,0.147905,0.078052
0.625000,0.000000,0.000000,0.348510,0.000000,0.000000,0.151236,0.074119,0.006188,0.143869,0.074207,0.032551,0.523989,0.420225,0.319291,0.442473,0.159765,0.084311
0.687500,0.000000,0.000000,0.430393,0.000000,0.000000,0.186769,0.091533,0.007642,0.177671,0.091642,0.040199,0.562176,0.450850,0.342560,0.474720,0.171408,0.090455
